id,label,color,created_at
5672d2ed-6ecb-4d16-9a57-1117f43b464c,Sales,#10B981,Sun Aug 03 2025 23:37:38 GMT+0300 (Israel Daylight Time)
85d131e8-a05c-432a-ad97-54723e863194,Billing,#F59E0B,Sun Aug 03 2025 23:37:38 GMT+0300 (Israel Daylight Time)
892dc39d-5b0a-43fe-b9a9-db79012d319f,Demo,#8B5CF6,Sun Aug 03 2025 23:37:38 GMT+0300 (Israel Daylight Time)
96771278-0576-4b8c-ae76-1b1efc4d7ede,Follow-up,#6B7280,Sun Aug 03 2025 23:37:38 GMT+0300 (Israel Daylight Time)
e86af93e-e4ed-4a23-890e-fce96eab1b14,Urgent,#EF4444,Sun Aug 03 2025 23:37:38 GMT+0300 (Israel Daylight Time)
e8a7c213-1822-49d5-899d-96f291912e58,Support,#3B82F6,Sun Aug 03 2025 23:37:38 GMT+0300 (Israel Daylight Time)
