id,trs_code,ean_barcode,reasons
cprod-truss-trs-7475,TRS-7475,7898625794274,missing_official_image|missing_official_description
cprod-truss-trs-7476,TRS-7476,7898625794342,missing_official_image|missing_official_description
cprod-truss-trs-7477,TRS-7477,7898625794304,missing_official_image|missing_official_description
cprod-truss-trs-7478,TRS-7478,7898625794250,missing_official_image|missing_official_description
cprod-truss-trs-7494,TRS-7494,7898625794328,missing_official_image|missing_official_description
cprod-truss-trs-7589,TRS-7589,7898625794519,missing_official_image|missing_official_description
cprod-truss-trs-7941,TRS-7941,7898702110416,missing_official_image|missing_official_description
cprod-truss-trs-8211,TRS-8211,7898625795226,missing_official_image|missing_official_description
cprod-truss-trs-8215,TRS-8215,7898625795219,missing_official_image|missing_official_description
cprod-truss-trs-8217,TRS-8217,7898625795202,missing_official_image|missing_official_description
cprod-truss-trs-8233,TRS-8233,7898625795585,missing_official_image|missing_official_description
cprod-truss-trs-8234,TRS-8234,7898625795158,missing_official_image|missing_official_description
cprod-truss-trs-8235,TRS-8235,7898625795189,missing_official_image|missing_official_description
cprod-truss-trs-8236,TRS-8236,7898625795165,missing_official_image|missing_official_description
cprod-truss-trs-7459,TRS-7459,7898625794199,missing_official_image|missing_official_description
cprod-truss-trs-7482,TRS-7482,7898625794175,missing_official_image|missing_official_description
cprod-truss-trs-7483,TRS-7483,7898625794151,missing_official_image|missing_official_description
cprod-truss-trs-7484,TRS-7484,7898625794168,missing_official_image|missing_official_description
cprod-truss-trs-7485,TRS-7485,7898625794182,missing_official_image|missing_official_description
cprod-truss-trs-7486,TRS-7486,7898625794205,missing_official_image|missing_official_description
cprod-truss-trs-7487,TRS-7487,7898625794236,missing_official_image|missing_official_description
cprod-truss-trs-7488,TRS-7488,7898625794229,missing_official_image|missing_official_description
cprod-truss-trs-7489,TRS-7489,7898625794212,missing_official_image|missing_official_description
cprod-truss-trs-8212,TRS-8212,7898625794977,missing_official_image|missing_official_description
cprod-truss-trs-8213,TRS-8213,7898625794984,missing_official_image|missing_official_description
cprod-truss-trs-8214,TRS-8214,7898625794991,missing_official_image|missing_official_description
cprod-truss-trs-8219,TRS-8219,7898625795004,missing_official_image|missing_official_description
cprod-truss-trs-8220,TRS-8220,7898625795011,missing_official_image|missing_official_description
cprod-truss-trs-8221,TRS-8221,7898625795028,missing_official_image|missing_official_description
cprod-truss-trs-221,TRS-221,7898352517931,missing_official_image|missing_official_description
cprod-truss-trs-7650,TRS-7650,7898625794748,missing_official_image|missing_official_description
cprod-truss-trs-8313,TRS-8313,7898625795486,missing_official_image|missing_official_description
